date,name_auction,seller_name,power_plant_name,invest_auction,nominal_capacity_mw,physical_guarantee_mwave,energy_contracted,sale_price_auction,financial_amount_negotiated,supply_start_date,supply_end_date,auction_ipca
31/10/2014,06ºLER,RIO ENERGY EOL IV,SOLAR CAETITÉ 3,140007000,29.97,6.6,1157112,207.52,240123882.2,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,RIO ENERGY EOL IV,SOLAR CAETITÉ 2,140007000,29.97,6.6,1157112,207.52,240123882.2,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,RIO ENERGY EOL IV,SOLAR CAETITÉ 1,140007000,29.97,6.6,1157112,207.52,240123882.2,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,DRACENAS,DRACENA 4,128320000,30,5.9,1034388,217.75,225237987,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,DRACENAS,DRACENA 1,128320000,30,5.9,1034388,217.75,225237987,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,DRACENAS,DRACENA 2,128320000,30,5.9,1034388,217.75,225237987,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,DRACENAS,DRACENA 3,128265000,30,5.9,1034388,217.75,225237987,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,COREMAS I,COREMAS I,125372000,30,6.9,1174644,219.78,258163258.3,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,SOLATIO,VAZANTE 2,128320000,30,6,1051920,216.12,227340950.4,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,SOLATIO,VAZANTE 3,128320000,30,6,1051920,216.12,227340950.4,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,SOLATIO,VAZANTE 1,128320000,30,6,1051920,216.12,227340950.4,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,RNV,CAETITÉ II,148950000,29.75,6.5,1139580,220.3,251049474,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,RNV,CAETITÉ I,148950000,29.75,6.5,1139580,220.3,251049474,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,RNV,CAETITÉ V,53425000,10.5,2.3,403236,220.3,88832890.8,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,RNV,CAETITÉ IV,148950000,29.75,6.5,1139580,220.3,251049474,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,EGP BONDIA,ITUVERAVA 2,156636000,30,8.4,1472688,214.84,316392289.9,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,EGP BONDIA,ITUVERAVA 1,156636000,30,8.4,1472688,214.83,316377563,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,EGP BONDIA,ITUVERAVA 3,156636000,30,8.4,1472688,214.85,316407016.8,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,EGP BONDIA,ITUVERAVA 4,156636000,30,8.4,1472688,214.86,316421743.7,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,EGP BONDIA,ITUVERAVA 5,156636000,30,8.4,1472688,214.87,316436470.6,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,EGP BONDIA,ITUVERAVA 6,156636000,30,8.4,1472688,214.88,316451197.4,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,FRV MASSAPE,FRV MASSAPÊ,139490000,30,7.1,1244772,200.82,249975113,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,EGP BONDIA,ITUVERAVA 7,156636000,30,8.4,1472688,214.89,316465924.3,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,FCR III,FCR III ITAPURANGA,52910000,10,1.8,315576,220,69426720,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,INHARÉ,INHARÉ I,133279000,30,7.7,1349964,218.7,295237126.8,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,GUAIMBE,GUAIMBE 3,127818000,30,5.9,1034388,220.8,228392870.4,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,GUAIMBE,GUAIMBE 2,127818000,30,5.9,1034388,215.95,223376088.6,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,GUAIMBE,GUAIMBE 1,127818000,30,5.9,1034388,215.95,223376088.6,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,GUAIMBE,GUAIMBE 5,127206000,30,5.9,1034388,220.8,228392870.4,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,FRV BANABUIU,FRV BANABUIÚ,140050000,30,7.3,1279836,200.84,257042262.2,01/10/2017,30/09/2037,3991.24
31/10/2014,06ºLER,GUAIMBE,GUAIMBE 4,127533000,30,5.9,1034388,220.8,228392870.4,01/10/2017,30/09/2037,3991.24
28/08/2015,07ºLER,EGP-ALBA,NOVA OLINDA 12,208147450,30,8.8,1542816,302.83,467210969.3,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,SUNEDISON RENOVA,SÃO PEDRO II,122224000,29.84,8,1314900,305.51,401715099,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,EDENA,VERDE VALE III,66355000,15.13,3.7,648684,302.92,196499357.3,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,VILA RENOVAVEL,BJL 11,79481000,20,5,876600,303.5,266048100,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,EGP-ALBA,HORIZONTE MP 11,112770380,20,6.1,1069452,301.83,322792697.2,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,MALTA,MALTA,121258000,27,6.7,1174644,296,347694624,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,COREMAS II,COREMAS II,143042000,30,6.9,1174644,301.88,354601530.7,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,ANGICO 1,ANGICO 1,121258000,27,6.7,1174644,296,347694624,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,SUNEDISON RENOVA,SÃO PEDRO IV,122224000,29.84,8,1314900,305.51,401715099,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,SOL MAIOR,SOL MAIOR 2,20579000,5,1.2,210384,297,62484048,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,ASSURUA,ASSURUÁ,126515010,30,8.8,1507752,298.5,450063972,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,EGP-ALBA,HORIZONTE MP 1,156675570,30,9.2,1612944,301.83,486834887.5,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,EGP-ALBA,HORIZONTE MP 2,156675570,30,9.2,1612944,301.83,486834887.5,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,EGP-ALBA,NOVA OLINDA 8,208147450,30,8.8,1542816,302.83,467210969.3,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,EGP-ALBA,NOVA OLINDA 14,208147450,30,8.8,1542816,302.83,467210969.3,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,EGP-ALBA,NOVA OLINDA 13,208147450,30,8.8,1542816,302.83,467210969.3,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,EGP-ALBA,NOVA OLINDA 10,208147450,30,8.8,1542816,302.83,467210969.3,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,EGP-ALBA,NOVA OLINDA 11,208147450,30,8.8,1542816,302.83,467210969.3,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,EGP-ALBA,NOVA OLINDA 9,208147450,30,8.8,1542816,302.83,467210969.3,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,EGP-ALBA,LAPA 2,155200810,30,8.7,1525284,303.83,463427037.7,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,SOBRAL I,SOBRAL 1,126515010,30,7.8,1367496,302.5,413667540,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,EGP-DESENVOLVIMENTO,BOM JESUS DA LAPA I,165600000,30,8.4,1472688,304.83,448919483,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,PIRAPORA,PIRAPORA 5,128165000,30,8.4,1472688,302,444751776,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,PIRAPORA,PIRAPORA 6,128168000,30,8.4,1472688,296.45,436578357.6,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,PIRAPORA,PIRAPORA 7,128168000,30,8.4,1472688,299,440333712,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,PIRAPORA,PIRAPORA 9,128168000,30,8.4,1472688,299,440333712,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,PIRAPORA,PIRAPORA 10,128168000,30,8.4,1472688,296.45,436578357.6,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,EGP-DESENVOLVIMENTO,BOM JESUS DA LAPA II,165600000,30,8.4,1472688,304.83,448919483,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,SERTAO I,SERTAO 1,126332000,30,7.8,1367496,304.5,416402532,01/08/2017,31/07/2037,4337.11
28/08/2015,07ºLER,EGP-ALBA,LAPA 3,155200810,30,8.7,1525284,303.83,463427037.7,01/08/2017,31/07/2037,4337.11
13/11/2015,08ºLER,SOLAIREDIRECT FLORESTA,FLORESTA I,143892370,30,9.4,1648008,292.8,482536742.4,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,CONSORCIO PIRAPORA,PIRAPORA 4,127738000,30,8.4,1472688,299.5,441070056,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,SOBRADO,SOBRADO1,118598000,30,7.8,1367496,299.95,410180425.2,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,SOLAIREDIRECT FLORESTA,FLORESTA II,143892370,30,9.4,1648008,292.8,482536742.4,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,RIO ALTO,COREMAS III,143042000,30,7.1,1244772,302.8,376916961.6,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,CONSORCIO PIRAPORA,PIRAPORA 3,127738000,30,8.4,1472688,299.5,441070056,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,CONSORCIO PIRAPORA,PIRAPORA 2,128168000,30,8.4,1472688,301,443279088,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,CONSORCIO GUIMARANIA,GUIMARANIA 1,129298000,30,8.2,1437624,290,416910960,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,BOA HORA,BOA HORA 3,150195000,25,5.3,929196,291.75,271092933,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,SOLAIREDIRECT FLORESTA,FLORESTA III,100223590,20,6.3,1104516,292.81,323413330,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,UFV AGRESTINA,FAZENDA ESMERALDA,153719890,30,6.2,1086984,294,319573296,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,CONSORCIO BRISAS SUAVES,BRISAS SUAVES,20180000,5,1.3,227916,293,66779388,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,CONSORCIO GUIMARANIA,GUIMARANIA 2,126008000,30,8.2,1437624,290,416910960,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,SOLAIREDIRECT SOLATIO,PARACATU 1,125916000,30,8.5,1490220,298,444085560,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,SOLAIREDIRECT SOLATIO,PARACATU 2,125738000,30,8.5,1490220,298,444085560,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,SOLAIREDIRECT SOLATIO,PARACATU 3,125738000,30,8.5,1490220,298,444085560,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,SOLAIREDIRECT SOLATIO,PARACATU 4,125738000,30,8.5,1490220,298,444085560,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,STEELCON,SOL STEELCONS MIRACEMA 1,203655000,30,5.4,946728,295.99,280222020.7,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,STEELCON,SOL STEELCONS MIRACEMA 2,203655000,30,5.4,946728,296.99,281168748.7,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,STEELCON,SOL STEELCONS MIRACEMA 3,203655000,30,5.4,946728,301.49,285429024.7,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,SUNEDISON,JUAZEIRO SOLAR I,122224000,29.84,8.7,1525284,301.02,459140989.7,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,SUNEDISON,JUAZEIRO SOLAR II,122224000,29.84,8.7,1525284,301.02,459140989.7,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,SUNEDISON,JUAZEIRO SOLAR IV,122224000,29.84,8.7,1525284,301.02,459140989.7,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,VILA RENOVAVEL,BJL 4,79481000,20,5,876600,300.15,263111490,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,BOA HORA,BOA HORA 2,150195000,25,5.3,929196,291.75,271092933,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,SUNEDISON,JUAZEIRO SOLAR III,122224000,29.84,8.7,1525284,301.02,459140989.7,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,BOA HORA,BOA HORA 1,150195000,25,5.3,929196,291.75,271092933,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,APODI,APODI I,120000010,30,8.7,1525284,300.88,458927449.9,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,APODI,APODI IV,120000000,30,8.7,1525284,300.88,458927449.9,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,ASSU,ASSU V,149784370,30,9.2,1612944,302.99,488705902.6,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,APODI,APODI III,120000000,30,8.7,1525284,300.88,458927449.9,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,APODI,APODI II,120000000,30,8.7,1525284,300.88,458927449.9,01/11/2018,31/10/2038,4405.95
13/11/2015,08ºLER,ADX,NOVA CRUZ,171541250,30,7,1104516,292.6,323181381.6,01/11/2018,31/10/2038,4405.95
18/12/2017,25ºLEN,AES TIETE,AGUA VERMELHA IV,87173010,15,4,701280,145.49,102029227.2,01/01/2021,31/12/2040,4894.92
18/12/2017,25ºLEN,AES TIETE,AGUA VERMELHA V,174346010,30,7.9,1385028,145.49,201507723.7,01/01/2021,31/12/2040,4894.92
18/12/2017,25ºLEN,AES TIETE,AGUA VERMELHA VI,174346010,30,7.9,1385028,146.66,203128206.5,01/01/2021,31/12/2040,4894.92
